Date Time,pH,COD,SS,TN,TP
2017-01-01 12:00,6.9,12.2,8.2,16.533,2.937
2017-01-02 12:00,6.3,16.1,8.2,11.791,4.031
2017-01-03 12:00,6.2,13.2,5.3,17.82,3.24
2017-01-04 12:00,6.3,13.4,5.3,17.342,2.879
2017-01-05 12:00,6.4,13.1,5.3,15.26,2.095
2017-01-06 12:00,6.4,12.2,5.3,13.57,1.678
2017-01-07 12:00,6.6,10.4,4.3,11.576,1.291
2017-01-08 12:00,6.9,10.7,22.2,13.987,1.126
2017-01-09 12:00,6.5,10.8,3.7,8.55,1.81
2017-01-10 12:00,6.2,11.4,4.6,11.661,2.036
2017-01-11 12:00,6.2,9.8,4.6,9.28,1.745
2017-01-12 12:00,6.4,8.4,4,9.83,1.588
2017-01-13 12:00,6.5,10.4,4.8,17.506,1.502
2017-01-14 12:00,6.6,13.1,4.5,10.892,1.533
2017-01-15 12:00,7,0,0,0,0
2017-01-16 12:00,6.4,11.6,3.4,6.76,1.642
2017-01-17 12:00,6.4,12.3,3.4,14.855,1.399
2017-01-18 12:00,6.5,12.1,3.4,17.185,1.173
2017-01-19 12:00,6.5,13,3.9,18.12,1.082
2017-01-20 12:00,6.3,11.2,4.2,14.009,1.227
2017-01-21 12:00,6.7,11.6,4.5,12.734,1.009
2017-01-22 12:00,6.8,13.8,10.7,14.139,1.022
2017-01-23 12:00,6.4,12.4,4.4,6.497,1.358
2017-01-24 12:00,6.4,12.8,4.1,10.527,1.372
2017-01-25 12:00,6.6,10.2,5,11.497,1.179
2017-01-26 12:00,6.6,19.5,6.4,10.134,1.235
2017-01-27 12:00,6.9,21.6,19.3,8.106,0.945
2017-01-28 12:00,7,0,0,0,0
2017-01-29 12:00,6.9,19.4,4.9,9.954,1.07
2017-01-30 12:00,6.5,21,12.1,7.798,1.186
2017-01-31 12:00,6.3,19.7,8.2,10.608,1.143
2017-02-01 12:00,6.5,23.8,7,16.017,1.016
2017-02-02 12:00,6.6,25.3,6.7,22.136,0.882
2017-02-03 12:00,6.5,24,6.9,21.863,0.751
2017-02-04 12:00,6.7,23.1,6.3,21.828,0.684
2017-02-05 12:00,7,0,0,0,0
2017-02-06 12:00,6.5,17.7,6.2,9.375,0.7
2017-02-07 12:00,6.5,20.8,6.9,15.636,0.847
2017-02-08 12:00,6.5,21.6,6.6,17.027,0.704
2017-02-09 12:00,6.4,19.9,4.2,16.99,0.84
2017-02-10 12:00,6.5,23.1,6.4,12.042,0.753
2017-02-11 12:00,6.7,26.8,6,13.968,0.683
2017-02-12 12:00,6.9,23.6,4.8,13.718,0.546
2017-02-13 12:00,6.5,44.6,5.6,9.004,0.675
2017-02-14 12:00,6.5,25.2,7,11.853,0.676
2017-02-15 12:00,6.5,29,0.4,12.163,0.691
2017-02-16 12:00,6.5,27.3,7.7,18.626,0.793
2017-02-17 12:00,6.6,28.8,6.8,14.957,0.639
2017-02-18 12:00,6.8,26.1,2,12.351,0.573
2017-02-19 12:00,7,0,0,0,0
2017-02-20 12:00,6.5,24.2,6,19.123,0.533
2017-02-21 12:00,6.5,23.4,7.1,12.274,0.566
2017-02-22 12:00,6.5,21.9,6.7,9.982,0.646
2017-02-23 12:00,6.5,21.8,7.5,9.347,0.681
2017-02-24 12:00,6.6,22.1,6.8,5.749,0.532
2017-02-25 12:00,6.6,21.2,6.6,4.877,0.41
2017-02-26 12:00,6.9,24.4,6.7,3.911,0.476
2017-02-27 12:00,6.5,22.1,4.4,4.418,0.622
2017-02-28 12:00,6.4,23.3,7.3,14.218,0.794
2017-03-01 12:00,6.6,23,6.8,16.502,0.589
2017-03-02 12:00,6.5,22.5,7.5,9.16,0.859
2017-03-03 12:00,6.5,28.5,2.9,8.652,0.746
2017-03-04 12:00,6.8,28.3,7.3,9.4,0.533
2017-03-05 12:00,7,0,0,0,0
2017-03-06 12:00,6.6,26.5,6.1,4.673,0.588
2017-03-07 12:00,6.5,28.9,2.8,8.542,0.527
2017-03-08 12:00,6.6,25.3,6.5,8.117,0.304
2017-03-09 12:00,6.4,23.8,5,7.974,0.344
2017-03-10 12:00,6.6,28.9,7.1,10.258,0.28
2017-03-11 12:00,6.7,32.2,6.8,9.685,0.347
2017-03-12 12:00,7,31.2,7.1,7.292,0.535
2017-03-13 12:00,6.6,29.4,7.3,3.947,0.358
2017-03-14 12:00,6.5,30,7.1,8.941,0.373
2017-03-15 12:00,6.6,29.2,7.4,9.569,0.344
2017-03-16 12:00,6.6,26.7,7.4,8.336,0.364
2017-03-17 12:00,6.6,30.7,8.6,9.177,0.304
2017-03-18 12:00,6.7,30.4,7.5,7.142,0.315
2017-03-19 12:00,6.9,27.9,7.3,5.902,0.274
2017-03-20 12:00,6.6,28.3,7.2,3.683,0.38
2017-03-21 12:00,6.6,28.7,7.1,6.957,0.456
2017-03-22 12:00,6.6,23.5,6.1,8.399,0.422
2017-03-23 12:00,6.5,15.3,7,9.949,0.508
2017-03-24 12:00,6.4,17.6,6.5,9.273,0.506
2017-03-25 12:00,6.5,18.6,6.7,10.694,0.459
2017-03-26 12:00,6.8,17.2,6.8,10.567,0.455
2017-03-27 12:00,6.6,18.5,7,5.869,0.466
2017-03-28 12:00,6.6,18.4,6.7,7.973,0.386
2017-03-29 12:00,6.5,18.5,6.3,7.104,0.364
2017-03-30 12:00,6.5,19.4,6.6,7.217,0.393
2017-03-31 12:00,6.5,20,6.9,8.298,0.384
