"stdr_de","ph_value","cod_value","ss_value","tn_value","tp_value"
"1/1/2019 12:00","7.2","4.8","1.2","5.287","0.081"
"1/2/2019 12:00","7.2","4.7","1.4","5.137","0.1"
"1/3/2019 12:00","7.2","4.8","1.2","5.241","0.085"
"1/4/2019 12:00","7.2","4.6","1.5","4.875","0.064"
"1/5/2019 12:00","7.2","4.8","1.2","4.873","0.065"
"1/6/2019 12:00","7.2","4.9","1.2","5.408","0.081"
"1/7/2019 12:00","7.2","4.5","1.4","5.759","0.092"
"1/8/2019 12:00","7.2","4.9","1.1","5.773","0.084"
"1/9/2019 12:00","7.2","4.8","1.6","4.773","0.092"
"1/10/2019 12:00","7.2","4.8","1.2","4.225","0.085"
"1/11/2019 12:00","7.2","4.7","1.3","4.28","0.074"
"1/12/2019 12:00","7.2","4.9","1.1","4.359","0.078"
"1/13/2019 12:00","7.2","5.1","1.1","5.467","0.083"
"1/14/2019 12:00","7.2","5.1","1.4","6.662","0.085"
"1/15/2019 12:00","7.2","5.4","1.1","6.744","0.078"
"1/16/2019 12:00","7.2","5.1","1.9","6.129","0.076"
"1/17/2019 12:00","7.2","5.2","1","5.853","0.074"
"1/18/2019 12:00","7.2","4.8","1.4","5.29","0.075"
"1/19/2019 12:00","7.2","5.2","1.1","5.462","0.08"
"1/20/2019 12:00","7.3","5.2","1.1","6.326","0.083"
"1/21/2019 12:00","7.2","5.3","2.6","6.937","0.105"
"1/22/2019 12:00","7.2","5.6","1.4","6.643","0.083"
"1/23/2019 12:00","7.2","5","1.4","5.91","0.073"
"1/24/2019 12:00","7.2","5.5","1.3","5.714","0.078"
"1/25/2019 12:00","7.2","5.4","1.6","5.195","0.095"
"1/26/2019 12:00","7.2","5.7","1.3","5.641","0.108"
"1/27/2019 12:00","7.2","5.9","1.3","6.795","0.134"
"1/28/2019 12:00","7.2","5.9","1.4","8.173","0.09"
"1/29/2019 12:00","7.2","5.7","1.5","7.386","0.074"
"1/30/2019 12:00","7.2","5.9","1.4","6.5","0.07"
"1/31/2019 12:00","7.2","6","1.4","5.84","0.075"
"2/1/2019 12:00","7.2","5.9","1.4","5.585","0.074"
"2/2/2019 12:00","7.2","5.7","1.5","5.102","0.091"
"2/3/2019 12:00","7.2","5.7","1.5","5.22","0.095"
"2/4/2019 12:00","7.2","5.9","1.4","5.471","0.107"
"2/5/2019 12:00","7.2","6","1.4","5.801","0.101"
"2/6/2019 12:00","7.2","6","1.4","6.36","0.107"
"2/7/2019 12:00","7.1","5.7","1.4","6.705","0.1"
"2/8/2019 12:00","7.2","6.2","1.5","6.308","0.111"
"2/9/2019 12:00","7.2","6.1","1.4","5.343","0.099"
"2/10/2019 12:00","7.1","6.1","1.4","5.866","0.132"
"2/11/2019 12:00","7.1","5.7","1.6","6.151","0.113"
"2/12/2019 12:00","7.2","5.3","1.4","6.148","0.107"
"2/13/2019 12:00","7.2","5.4","1.4","5.683","0.115"
"2/14/2019 12:00","7.1","5.3","1.4","6.237","0.116"
"2/15/2019 12:00","7.1","5.3","1.4","6.051","0.125"
"2/16/2019 12:00","7.1","5.3","1.4","5.446","0.127"
"2/17/2019 12:00","7.1","5.3","1.4","5.927","0.108"
"2/18/2019 12:00","7.2","5.5","1.4","6.962","0.129"
"2/19/2019 12:00","7.2","5.5","1.4","6.928","0.132"
"2/20/2019 12:00","7.1","15.6","9.1","11.085","0.159"
